"Name","Code","Year","Current Gross Export","Sector"
"Machinery and instruments","7 HS92","2014","$5.49B","Machinery"
"Machinery and instruments","7 HS92","2015","$4.82B","Machinery"
"Machinery and instruments","7 HS92","2016","$4.69B","Machinery"
"Machinery and instruments","7 HS92","2017","$5.45B","Machinery"
"Machinery and instruments","7 HS92","2018","$6.71B","Machinery"
"Machinery and instruments","7 HS92","2019","$6.53B","Machinery"
"Machinery and instruments","7 HS92","2020","$6.38B","Machinery"
"Machinery and instruments","7 HS92","2021","$7.72B","Machinery"
"Electronics","8 HS92","1995","$2.70B","Electronics"
"Electronics","8 HS92","1996","$2.84B","Electronics"
"Electronics","8 HS92","1997","$2.82B","Electronics"
"Electronics","8 HS92","1998","$3.05B","Electronics"
"Electronics","8 HS92","1999","$3.32B","Electronics"
"Electronics","8 HS92","2000","$3.39B","Electronics"
"Electronics","8 HS92","2001","$3.17B","Electronics"
"Electronics","8 HS92","2002","$3.19B","Electronics"
"Electronics","8 HS92","2003","$3.71B","Electronics"
"Electronics","8 HS92","2004","$4.00B","Electronics"
"Electronics","8 HS92","2005","$4.14B","Electronics"
"Electronics","8 HS92","2006","$6.11B","Electronics"
"Electronics","8 HS92","2007","$5.73B","Electronics"
"Electronics","8 HS92","2008","$6.05B","Electronics"
"Electronics","8 HS92","2009","$3.68B","Electronics"
"Electronics","8 HS92","2010","$4.30B","Electronics"
"Electronics","8 HS92","2011","$5.07B","Electronics"
"Electronics","8 HS92","2012","$4.83B","Electronics"
"Electronics","8 HS92","2013","$4.97B","Electronics"
"Electronics","8 HS92","2014","$4.92B","Electronics"
"Electronics","8 HS92","2015","$4.22B","Electronics"
"Electronics","8 HS92","2016","$4.81B","Electronics"
"Electronics","8 HS92","2017","$5.58B","Electronics"
"Electronics","8 HS92","2018","$5.91B","Electronics"
"Electronics","8 HS92","2019","$5.62B","Electronics"
"Electronics","8 HS92","2020","$5.46B","Electronics"
"Electronics","8 HS92","2021","$6.22B","Electronics"
"Other","9 HS92","2000","$888M","Other"
"Other","9 HS92","2001","$305M","Other"
"Other","9 HS92","2002","$244M","Other"
"Other","9 HS92","2003","$597M","Other"
"Other","9 HS92","2004","$1.21B","Other"
"Other","9 HS92","2005","$1.02B","Other"
"Other","9 HS92","2006","$1.18B","Other"
"Other","9 HS92","2007","$1.47B","Other"
"Other","9 HS92","2008","$1.35B","Other"
"Other","9 HS92","2009","$568M","Other"
"Other","9 HS92","2010","$576M","Other"
"Other","9 HS92","2011","$456M","Other"
"Other","9 HS92","2012","$531M","Other"
"Other","9 HS92","2013","$483M","Other"
"Other","9 HS92","2014","$709M","Other"
"Other","9 HS92","2015","$780M","Other"
"Other","9 HS92","2016","$981M","Other"
"Other","9 HS92","2017","$910M","Other"
"Other","9 HS92","2018","$1.08B","Other"
"Other","9 HS92","2019","$2.63B","Other"
"Other","9 HS92","2020","$1.64B","Other"
"Other","9 HS92","2021","$2.45B","Other"
"Services","","1995","$8.42B","Services"
"Services","","1996","$8.15B","Services"
"Services","","1997","$7.92B","Services"
"Services","","1998","$9.13B","Services"
"Services","","1999","$9.29B","Services"
"Services","","2000","$9.32B","Services"
"Services","","2001","$9.46B","Services"
"Services","","2002","$10.3B","Services"
"Services","","2003","$12.3B","Services"
"Services","","2004","$14.7B","Services"
"Services","","2005","$15.1B","Services"
"Services","","2006","$18.6B","Services"
"Services","","2007","$23.7B","Services"
"Services","","2008","$26.5B","Services"
"Services","","2009","$23.1B","Services"
"Services","","2010","$23.1B","Services"
"Services","","2011","$26.9B","Services"
"Services","","2012","$25.5B","Services"
"Services","","2013","$29.2B","Services"
"Services","","2014","$30.6B","Services"
"Services","","2015","$27.6B","Services"
"Services","","2016","$29.4B","Services"
"Services","","2017","$35.0B","Services"
"Services","","2018","$39.4B","Services"
"Services","","2019","$40.0B","Services"
"Services","","2020","$25.5B","Services"
"Services","","2021","$32.1B","Services"
